ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050673	epithelial cell proliferation	63/1055	339/13249	1.43631031793189e-10	5.7189089158988e-08	4.36688733504555e-08	TGFBR1/NRP2/XBP1/THBS1/FGF2/BMPR2/B4GALT1/HMOX1/VDR/CDKN1A/LGR4/CCL2/HNF1B/NKX3-1/ZFP36L1/EGFR/PDGFB/BMP6/NR2F2/TGFBR3/SOX2/F3/ITGB3/SPARC/JCAD/AREG/VASH2/HLX/ID2/PIK3CD/SGPP2/IGF2/TBX2/PAX6/FGFBP1/NOG/ARX/SERPINB5/VSTM4/RUNX2/SNAI2/WNT5A/EFNB2/ATOH8/PROX1/WNT7A/KRT4/SDR16C5/FGF1/OR51E2/CDKN1C/RGCC/OSR2/LIMS2/IRF6/A4GNT/TACR1/TEK/PTPRN/TNF/LGR5/CCL24/VEGFD	63
GO:0001525	angiogenesis	74/1055	432/13249	1.8367825051541e-10	6.66887405507141e-08	5.0922688363062e-08	TGFBI/SERPINE1/TGFBR1/COL4A1/GREM1/ANGPTL4/NRP2/XBP1/THBS1/EPHB2/ITGA5/CCN2/FGF2/CCN1/ELK3/TNFRSF12A/B4GALT1/COL4A2/HMOX1/SPHK1/CCL2/ADGRG1/ACKR3/VAV3/VAV2/CXCL8/ACVR1/HHEX/F3/ITGB3/MMP2/HSPB1/SPARC/JCAD/HDAC5/RUNX1/ADM/PTPRB/MINAR1/KLF2/ADAMTS9/VASH2/EPHA1/PIK3CD/E2F2/CX3CL1/HOXB13/GPNMB/FOXC2/SEMA3E/ITGB8/FGFBP1/ANGPT1/HEY1/VSTM4/WNT5A/EFNB2/AQP1/SH2D2A/EPHB3/WNT7A/IL1A/FGF1/COL15A1/TMEM100/RGCC/TCF21/TEK/TNF/TMEM215/NOX1/FGF18/CCL24/VEGFD	74
GO:0061448	connective tissue development	48/1055	225/13249	1.95404430244872e-10	6.66887405507141e-08	5.0922688363062e-08	TGFBI/TGFBR1/GREM1/COL1A1/XBP1/CHST11/CCN2/FGF2/CCN1/COL5A1/BMPR2/KLF7/SOX8/COL11A1/CREB3L2/PDGFB/SNAI1/BMP6/WNT5B/STC1/RARA/MAF/ITGB3/RARB/SMAD7/PTHLH/RUNX1/NFATC2/BMP2/PKDCC/ARID5A/SNORC/WNT9A/FOXC2/ITGB8/NOG/RUNX2/SNAI2/WNT5A/GDF6/WNT7A/TRPS1/OSR2/DLX2/TRPV4/CHRDL2/NKX3-2/FGF18	48
GO:0061035	regulation of cartilage development	22/1055	59/13249	2.76993892147021e-10	8.82317877785644e-08	6.73726898373035e-08	TGFBR1/GREM1/CCN2/CCN1/BMPR2/BMP6/RARA/MAF/RARB/SMAD7/PTHLH/BMP2/PKDCC/WNT9A/NOG/RUNX2/SNAI2/WNT5A/GDF6/TRPS1/NKX3-2/FGF18	22
GO:0070374	positive regulation of ERK1 and ERK2 cascade	35/1055	138/13249	4.46333182431866e-10	1.33286246603716e-07	1.01775711204529e-07	F2RL1/CCN2/FGF2/NRG1/RASGRP1/CCL2/ACKR3/EGFR/FERMT2/TLR4/PDGFB/F2R/SEMA7A/ARRB1/ITGB3/BMP2/TNFAIP8L3/CX3CL1/GPNMB/PYCARD/GLIPR2/ANGPT1/FFAR4/INHBA/IL1A/FGF1/CSF1R/P2RY1/FPR2/TRPV4/TEK/TNF/FGF18/CCL3/CCL24	35
GO:0043408	regulation of MAPK cascade	79/1055	492/13249	1.04678793017778e-09	2.6897378781373e-07	2.05385020943004e-07	LBH/F2RL1/TGFBR1/IL11/GADD45B/THBS1/EPHB2/SH2B3/CCN2/FGF2/CCN1/NRG1/RASGRP1/RET/SPHK1/CCL2/EPHA7/ACKR3/EGFR/FERMT2/TLR4/PDGFB/F2R/SEMA7A/PTPRJ/PAK3/AVPI1/DUSP7/ARRB1/SERPINB3/SOX2/ITGB3/JCAD/SPRY4/BMP2/TNFAIP8L3/SPRY1/SEMA4C/IGF2/SH3RF2/CX3CL1/GRIK2/GPNMB/GPR37/EPHA4/PYCARD/DUSP8/PER1/GDF15/GLIPR2/ANGPT1/DACT1/DUSP26/FFAR4/GBP1/INHBA/WNT5A/TIMP3/NTRK2/AGT/GDF6/WNT7A/IL1A/FGF1/CSF1R/P2RY1/NEK10/FPR2/GRAP/TRPV4/TEK/TNF/LAPTM5/NOX1/SH3RF3/PTPRR/FGF18/CCL3/CCL24	79
GO:0070371	ERK1 and ERK2 cascade	48/1055	236/13249	1.07420659622062e-09	2.6897378781373e-07	2.05385020943004e-07	F2RL1/GRB10/EPHB2/CCN2/FGF2/CCN1/NRG1/RASGRP1/CCL2/EPHA7/ACKR3/ZFP36L1/EGFR/FERMT2/TLR4/PDGFB/F2R/SEMA7A/DUSP7/ARRB1/ITGB3/BMP2/TNFAIP8L3/SPRY1/CX3CL1/GPNMB/EPHA4/PYCARD/GLIPR2/ANGPT1/DUSP26/FFAR4/GBP1/INHBA/TIMP3/IL1A/FGF1/CSF1R/P2RY1/NEK10/FPR2/TRPV4/TEK/TNF/PTPRR/FGF18/CCL3/CCL24	48
GO:0045785	positive regulation of cell adhesion	63/1055	356/13249	1.13904546896355e-09	2.6897378781373e-07	2.05385020943004e-07	ADAM19/GPAM/XBP1/ITGA5/CEACAM6/CCN1/TPM1/TGM2/FSTL3/ITGA2/EDIL3/RASGRP1/AGR2/RET/SLC7A1/PREX1/SOX4/CCL2/ADGRG1/VAV3/SDC4/FERMT2/MYADM/PDGFB/PTPRJ/KITLG/PLAUR/SOX2/RARA/ITGB3/SMAD7/RUNX1/FOXA2/FRMD5/BCL6/HLX/EPHA1/APBB1IP/ANK3/IGF2/IL7R/VTCN1/CX3CL1/NID1/CITED2/EPHA4/FOXC2/PYCARD/CARD11/ANGPT1/DUSP26/WNT5A/EFNB2/COL26A1/IL1A/ABI3BP/LIMS2/TEK/TNF/PTAFR/TNFSF14/CHRD/TNFSF13B	63
GO:0070372	regulation of ERK1 and ERK2 cascade	45/1055	214/13249	1.17884788572036e-09	2.6897378781373e-07	2.05385020943004e-07	F2RL1/EPHB2/CCN2/FGF2/CCN1/NRG1/RASGRP1/CCL2/EPHA7/ACKR3/EGFR/FERMT2/TLR4/PDGFB/F2R/SEMA7A/ARRB1/ITGB3/BMP2/TNFAIP8L3/SPRY1/CX3CL1/GPNMB/EPHA4/PYCARD/GLIPR2/ANGPT1/DUSP26/FFAR4/GBP1/INHBA/TIMP3/IL1A/FGF1/CSF1R/P2RY1/NEK10/FPR2/TRPV4/TEK/TNF/PTPRR/FGF18/CCL3/CCL24	45
GO:0060485	mesenchyme development	50/1055	252/13249	1.18217864045382e-09	2.6897378781373e-07	2.05385020943004e-07	TGFBR1/PHLDB1/GREM1/COL1A1/NRP2/BMPR2/SEMA4G/NRG1/RET/SOX4/SOX8/LDLRAD4/ZFP36L1/ERBB3/FERMT2/SEMA7A/RDH10/SNAI1/ACVR1/KITLG/TGFBR3/SERPINB3/SMAD7/BMP2/FOXA2/SPRY1/SEMA4C/TBX2/AKNA/CITED2/EPHA4/PAX6/FOXC2/SEMA3E/NOG/GLIPR2/HEY1/SNAI2/WNT5A/EOMES/SP6/AGT/TMEM100/RGCC/MARK1/ACTC1/DAND5/DACT3/TCF21/SEMA3D	50
